Zip Code,Population
60601,16292
60602,1127
60603,1126
60604,653
60605,34256
60606,3527
60607,30197
60608,81459
60609,64268
60610,45282
60611,36036
60612,34699
60613,51334
60614,70444
60615,42752
60616,54456
60617,79284
60618,91896
60619,59892
60621,27318
60622,53696
60623,77061
60624,35711
60625,78467
60626,50027
60628,59212
60630,54242
60632,87831
60636,31007
60637,52418
60639,84505
60640,66884
60641,67400
60642,21124
60643,47802
60644,48317
60647,85589
60649,48720
60651,63892
60652,41431
60653,34608
60654,24303
60657,71268
60659,42008
60660,42750
60661,11516
60646,28499
60656,28726
60645,46856
60634,74418
60655,27794
60638,58250
60629,109292
60620,66511
60633,12485
