Zip Code,poverty_levels
60624,35.9%
60621,33.6%
60637,32.2%
60636,31.5%
60653,31.4%
60644,30.8%
60649,30.5%
60623,27.0%
60609,26.8%
60612,26.7%
60619,25.8%
60651,25.0%
60615,24.6%
60628,23.2%
60620,22.6%
60617,22.1%
60626,19.6%
60640,18.5%
60659,18.1%
60629,18.0%
60604,17.6%
60608,17.4%
60639,16.9%
60645,16.3%
60660,16.2%
60607,16.1%
60616,16.0%
60632,15.0%
60652,13.7%
60641,12.8%
60625,12.5%
60647,12.4%
60643,12.4%
60610,12.0%
60633,11.6%
60603,10.7%
60605,9.4%
60622,9.2%
60613,9.1%
60634,9.0%
60611,8.9%
60614,8.6%
60630,8.2%
60618,7.8%
60642,7.7%
60606,7.7%
60656,7.5%
60657,7.4%
60654,7.2%
60631,7.0%
60646,6.6%
60638,6.2%
60601,5.5%
60655,5.2%
60661,5.1%
60602,1.9%
